age,dataset,bfis_O_newidea,bfis_O_apprart,bfis_O_highima,bfis_C_worktho,bfis_C_taskeff,bfis_C_ratlazy,bfis_E_talkati,bfis_E_sociabl,bfis_E_reserve,bfis_A_harshwo,bfis_A_ablefor,bfis_A_conside,bfis_N_worries,bfis_N_nervous,bfis_N_relaxed
24,sels,10,9,10,10,10,9,10,10,4,10,10,10,5,4,2
81,sels,4,4,5,5,5,4,4,6,5,10,4,5,4,2,3
56,sels,5,5,5,9,8,10,8,4,6,8,5,9,8,2,5
30,sels,6,2,7,7,8,4,7,7,5,5,7,7,7,7,3
51,sels,7,4,4,9,8,9,9,5,2,2,8,6,9,2,6
35,sels,7,8,8,8,5,7,8,6,8,7,8,8,2,2,3
63,sels,10,1,7,10,10,9,10,10,0,0,10,10,1,1,0
41,sels,4,1,5,10,9,9,9,9,5,9,10,10,8,7,1
48,sels,5,5,5,7,8,8,7,4,4,6,8,7,9,5,7
72,sels,8,8,7,9,9,6,9,9,4,5,7,8,9,7,3
39,sels,8,10,9,9,8,10,7,7,9,3,9,8,7,1,2
52,sels,8,1,5,10,9,10,7,7,8,9,5,10,7,0,3
65,sels,5,5,5,5,5,8,5,5,5,10,8,5,5,5,5
67,sels,8,2,9,5,7,3,8,9,2,2,10,10,10,6,8
64,sels,8,10,10,8,6,9,8,8,3,4,9,8,7,8,7
69,sels,6,5,2,8,9,10,8,10,5,2,6,9,1,1,5
62,sels,4,3,5,9,8,1,6,8,5,9,5,9,7,2,2
46,sels,5,3,5,8,9,10,8,7,4,10,7,10,7,6,4
43,sels,7,9,7,8,8,8,8,8,7,8,7,9,7,6,4
52,sels,4,2,6,10,10,5,6,6,4,7,8,9,4,3,4
50,sels,8,8,8,8,8,10,8,8,5,8,5,8,2,2,2
28,sels,10,10,10,10,10,10,10,10,6,3,10,10,8,7,0
61,sels,6,2,6,8,6,10,9,9,8,6,8,8,3,5,5
24,sels,8,3,6,6,5,5,8,6,7,7,8,7,5,6,5
27,sels,5,6,6,7,8,6,6,6,3,8,8,7,7,5,5
65,sels,9,8,8,8,8,6,9,8,5,4,2,9,2,2,2
71,sels,8,8,6,8,8,9,9,7,8,9,5,8,2,2,1
34,sels,9,5,10,10,8,10,10,10,8,10,9,10,8,2,4
26,sels,5,5,3,4,6,9,6,6,4,4,6,7,7,6,7
73,sels,5,5,5,7,1,10,10,10,9,10,10,10,5,0,0
19,sels,6,7,7,8,8,8,5,5,3,10,9,9,5,6,2
65,sels,3,6,7,8,8,10,7,8,2,10,9,8,7,1,3
71,sels,6,9,6,8,8,6,8,7,6,9,7,8,3,2,3
67,sels,9,3,10,10,9,8,10,5,8,5,9,6,4,5,1
72,sels,3,10,6,10,9,10,4,3,0,8,4,8,10,4,4
63,sels,6,5,4,8,9,9,8,4,8,4,7,6,2,1,2
63,sels,5,5,5,8,6,9,6,7,2,7,9,8,5,4,3
53,sels,7,10,8,9,9,10,4,5,7,8,8,8,7,3,6
52,sels,8,8,8,10,10,10,8,8,10,10,10,10,5,0,0
57,sels,4,0,0,9,5,10,1,1,0,9,5,7,10,5,9
47,sels,10,5,10,10,10,10,9,8,7,7,5,10,7,8,8
51,sels,5,5,2,9,8,8,3,7,2,9,10,9,2,2,2
55,sels,5,10,5,10,10,10,5,5,0,10,10,8,8,5,2
71,sels,6,5,8,10,10,10,7,10,0,10,10,10,10,2,6
52,sels,9,8,9,10,10,10,9,9,2,9,8,9,10,1,2
54,sels,10,1,9,10,9,10,10,9,5,8,10,10,10,6,5
36,sels,5,3,4,6,7,5,7,9,4,3,10,7,4,2,3
56,sels,9,4,8,9,9,8,8,7,1,9,9,9,7,2,5
77,sels,5,8,6,10,6,10,9,9,3,9,10,10,2,5,2
32,sels,6,6,6,8,8,10,7,8,4,6,7,6,2,8,3
34,sels,5,10,4,10,10,10,8,8,5,8,5,10,6,8,2
25,sels,7,8,10,8,7,4,6,3,2,6,9,8,8,8,5
54,sels,8,9,8,9,6,9,3,1,2,9,9,9,9,8,7
61,sels,6,2,6,7,6,4,9,9,5,7,8,7,2,2,2
63,sels,2,8,6,9,7,2,8,5,5,3,6,9,8,3,6
40,sels,6,8,7,7,7,7,5,5,3,8,9,7,4,4,3
48,sels,8,3,8,8,8,8,8,8,8,5,7,8,2,2,2
40,sels,9,8,8,8,7,8,8,8,7,3,6,5,6,6,5
60,sels,8,3,7,7,8,9,9,9,7,4,9,7,3,3,2
56,sels,8,1,8,7,8,8,8,8,7,4,8,5,8,2,2
18,sels,9,8,7,6,6,6,8,5,2,3,10,9,9,8,5
68,sels,7,9,9,9,9,10,7,9,8,7,8,7,3,2,1
40,sels,3,9,7,10,8,9,7,9,5,7,9,10,2,5,4
53,sels,5,8,7,8,8,3,8,8,4,5,3,9,5,5,6
24,sels,6,7,7,5,8,4,5,5,5,8,8,6,7,6,6
19,sels,5,2,7,9,8,6,7,5,4,8,7,9,8,5,2
29,sels,7,7,9,3,5,3,2,4,2,7,10,8,0,2,5
20,sels,5,5,9,10,9,9,10,8,8,9,8,10,6,5,3
33,sels,5,4,4,8,7,10,8,8,9,9,6,8,9,5,6
40,sels,5,5,7,8,7,5,9,8,4,9,7,8,5,1,4
40,sels,5,8,10,10,10,9,10,10,7,8,10,10,8,3,2
53,sels,5,5,10,10,10,9,5,5,5,5,7,9,10,8,4
68,sels,3,7,5,7,6,8,3,7,2,9,9,8,5,4,4
55,sels,6,7,8,9,7,4,4,5,6,10,7,9,5,6,3
45,sels,10,10,10,10,8,8,5,5,1,8,10,10,5,2,2
54,sels,5,3,5,8,8,8,5,5,6,10,10,10,7,7,3
46,sels,9,4,10,7,9,10,9,10,7,7,10,9,3,3,4
53,sels,7,9,9,10,10,9,9,9,8,5,9,9,1,1,1
41,sels,9,5,8,9,8,10,8,9,5,9,9,9,3,2,2
51,sels,5,3,6,9,7,10,7,9,5,4,8,8,7,2,4
24,sels,4,9,8,9,9,9,4,3,4,8,9,9,3,8,1
34,sels,5,6,5,7,6,4,7,8,7,2,6,7,7,4,3
73,sels,8,6,7,9,8,9,7,5,7,3,5,7,7,2,3
69,sels,4,9,3,7,8,9,9,8,2,10,9,8,1,1,2
61,sels,6,10,6,8,9,7,4,8,1,2,6,8,4,2,2
78,sels,0,0,0,6,10,3,10,1,9,0,2,8,10,10,10
51,sels,6,7,6,8,8,9,8,8,7,4,8,7,6,3,2
41,sels,8,9,10,9,8,5,7,6,5,8,6,9,10,7,6
42,sels,3,3,4,9,8,8,6,8,2,10,7,8,7,8,2
57,sels,7,7,8,9,9,10,7,8,3,7,9,8,6,0,1
53,sels,5,2,6,8,8,8,7,7,5,5,8,6,4,5,5
61,sels,5,5,7,5,7,9,6,6,4,1,5,5,8,7,7
77,sels,7,5,5,5,7,5,6,8,3,7,10,8,1,2,2
31,sels,6,10,7,10,7,4,8,10,5,7,10,8,8,8,3
43,sels,5,9,9,9,9,3,9,7,5,9,7,9,5,5,5
80,sels,10,2,8,8,9,10,9,8,9,6,5,6,7,8,2
46,sels,5,9,6,10,5,5,6,6,1,8,9,10,8,4,2
60,sels,4,6,5,5,7,7,6,7,3,4,7,7,5,2,4
71,sels,6,6,7,9,9,10,9,6,0,9,4,10,1,2,0
39,sels,7,4,7,10,10,10,10,7,2,5,10,10,5,10,0
24,sels,9,9,7,8,7,8,10,9,9,2,8,7,8,9,6
53,sels,6,2,7,9,9,10,9,9,5,7,5,9,9,0,0
67,sels,7,6,8,5,8,9,7,8,7,2,4,8,8,7,7
65,sels,6,3,3,4,10,8,10,8,5,7,10,8,3,4,5
66,sels,6,8,8,8,9,9,8,9,2,5,9,8,1,2,1
20,sels,7,10,7,7,7,9,4,7,3,10,1,7,3,1,3
27,sels,7,4,8,8,8,7,10,9,7,8,9,7,3,0,2
20,sels,9,9,9,9,9,4,9,9,5,3,9,9,4,3,1
31,sels,8,6,6,8,8,10,9,8,7,9,6,9,3,2,2
66,sels,5,2,4,8,8,5,6,5,2,10,9,8,3,5,2
34,sels,10,7,10,10,9,8,10,5,4,5,5,8,10,5,1
46,sels,4,0,5,9,8,10,7,7,4,9,10,10,5,5,5
20,sels,9,9,8,10,10,9,10,6,3,2,9,9,8,10,3
68,sels,5,7,7,7,7,10,9,6,8,8,7,7,4,3,4
71,sels,8,9,9,10,9,10,9,8,1,5,3,8,2,2,1
47,sels,10,9,9,10,10,9,10,9,2,1,10,9,10,10,2
38,sels,7,3,7,9,9,8,9,5,5,1,7,7,3,1,2
57,sels,8,8,7,8,8,0,8,8,2,5,5,8,5,5,3
46,sels,5,7,7,7,6,7,7,2,4,9,9,8,4,6,7
24,sels,10,10,10,10,8,8,7,7,5,6,8,9,10,10,7
64,sels,3,3,5,10,9,10,5,6,4,10,7,9,5,5,5
66,sels,5,5,8,10,10,9,5,3,1,10,9,9,9,5,7
75,sels,8,10,8,10,10,10,10,10,10,10,10,10,0,0,0
20,sels,8,2,8,10,10,7,6,9,5,8,10,10,0,2,0
37,sels,2,0,5,10,10,10,2,5,0,10,5,9,10,1,5
70,sels,5,8,6,10,5,5,5,8,2,9,8,9,8,6,6
49,sels,7,2,8,8,8,9,8,9,7,8,9,9,5,4,3
63,sels,7,9,8,9,9,9,9,9,5,9,8,9,1,5,2
41,sels,5,10,8,10,10,7,8,8,5,10,8,10,5,8,5
51,sels,7,9,7,6,7,2,4,6,2,8,8,8,2,5,6
48,sels,3,6,1,7,8,4,6,8,7,7,5,5,4,4,6
63,sels,8,8,9,7,7,7,7,7,6,8,5,8,6,3,3
88,sels,10,8,9,5,6,3,5,7,4,5,5,6,1,2,1
35,sels,5,2,5,5,9,10,6,6,8,5,2,7,0,2,5
41,sels,6,8,5,10,9,9,10,7,8,7,9,9,1,2,2
43,sels,2,10,6,9,7,9,10,9,1,10,9,10,8,7,1
39,sels,8,10,8,7,9,6,10,10,10,3,5,5,3,6,3
39,sels,8,0,5,8,9,8,7,5,6,6,7,8,2,2,3
63,sels,8,8,8,4,7,7,8,8,7,7,8,8,7,4,4
31,sels,3,0,4,10,10,5,6,2,3,9,9,9,10,9,8
69,sels,6,7,5,7,7,9,5,5,6,9,8,8,3,2,2
53,sels,5,6,9,8,7,2,10,9,4,3,8,9,8,9,7
18,sels,7,9,9,7,5,4,8,7,3,5,8,7,10,6,5
75,sels,6,8,5,7,6,7,5,5,3,3,5,6,8,6,6
58,sels,3,3,8,6,6,7,5,2,2,10,8,8,8,4,3
64,sels,7,6,6,9,9,9,8,9,1,8,10,9,3,2,1
62,sels,4,5,5,8,8,5,6,5,3,8,8,8,9,5,6
47,sels,7,6,7,7,7,3,7,7,3,3,7,7,7,6,3
26,sels,7,5,7,8,9,7,5,4,1,5,8,6,1,1,2
46,sels,7,7,10,10,10,8,10,10,3,0,10,9,8,7,2
65,sels,8,5,6,10,10,10,10,5,7,2,7,10,10,7,5
20,sels,2,1,1,9,8,2,3,3,3,5,7,10,7,6,5
58,sels,8,6,7,7,5,5,9,7,7,2,7,5,3,7,3
76,sels,5,2,8,10,10,10,8,8,3,2,6,9,4,5,2
53,sels,9,6,7,10,10,8,8,7,2,5,7,10,10,5,3
44,sels,6,6,4,8,8,4,9,7,3,3,8,8,9,6,8
56,sels,8,8,7,7,8,2,8,8,4,4,6,8,8,6,5
56,sels,5,8,8,8,8,8,8,8,6,8,5,8,5,5,6
60,sels,9,9,9,8,5,1,6,5,2,9,9,8,3,1,4
60,sels,7,7,5,5,5,7,9,6,7,1,5,7,5,3,5
33,sels,4,1,5,8,7,5,6,6,1,8,8,9,5,4,1
55,sels,7,3,7,9,8,9,4,4,4,4,4,8,6,3,2
23,sels,8,8,7,10,10,9,10,10,6,5,10,10,10,7,3
54,sels,8,8,8,9,9,8,9,8,5,6,7,8,8,5,3
54,sels,8,6,8,7,7,3,8,9,4,5,9,8,5,1,2
61,sels,6,3,6,9,7,8,6,7,2,5,8,8,8,5,4
48,sels,9,8,8,8,8,9,10,10,10,7,5,6,7,6,4
69,sels,5,8,3,9,10,10,8,6,4,10,8,6,0,1,1
50,sels,6,7,8,9,9,10,6,7,2,10,9,8,8,7,6
78,sels,5,2,3,8,7,9,8,8,5,8,4,6,5,4,6
57,sels,6,3,7,9,8,10,5,5,2,10,5,9,5,4,4
58,sels,8,10,9,8,8,8,7,7,4,8,10,8,6,8,4
58,sels,8,7,8,8,9,4,6,7,3,8,9,9,7,4,1
68,sels,8,3,9,8,8,5,8,8,6,9,10,8,4,5,6
22,sels,8,7,6,9,9,7,6,8,2,4,5,10,5,7,2
49,sels,2,1,2,9,9,1,2,5,4,8,2,8,8,5,5
52,sels,5,1,5,9,9,9,9,7,1,9,8,9,1,8,5
62,sels,5,2,5,8,8,0,6,5,6,8,10,8,0,10,1
72,sels,8,3,3,10,10,2,10,8,7,5,1,10,10,3,0
84,sels,7,6,6,7,7,7,6,6,3,4,8,7,4,6,3
65,sels,9,10,10,9,8,8,6,7,2,8,9,9,9,9,5
43,sels,5,2,5,10,9,10,9,10,2,5,8,8,5,2,5
35,sels,10,8,10,9,7,10,8,6,3,3,8,8,8,7,5
50,sels,6,6,8,8,9,10,10,10,4,9,10,10,3,1,2
63,sels,3,0,2,5,5,7,5,2,5,9,5,5,5,2,5
19,sels,6,1,5,6,8,5,7,8,8,1,9,9,3,7,5
61,sels,5,4,7,8,8,9,7,6,2,9,10,9,1,2,2
75,sels,5,3,8,8,8,10,8,9,3,5,10,9,9,4,1
63,sels,4,5,4,7,6,3,4,4,5,6,7,7,5,6,5
41,sels,5,5,5,8,9,9,4,7,5,6,8,8,4,3,5
18,sels,8,8,8,7,9,5,7,9,8,4,8,9,10,9,9
27,sels,3,7,6,9,9,6,8,6,1,10,9,9,3,5,6
43,sels,5,2,6,10,8,7,9,6,4,8,8,8,6,7,4
47,sels,5,5,8,7,8,10,7,7,7,9,5,10,7,2,1
53,sels,8,10,10,8,10,2,10,10,10,3,5,9,7,5,2
77,sels,2,8,8,8,8,10,8,8,2,10,10,8,0,0,10
46,sels,7,8,7,8,6,9,7,8,8,6,9,7,5,4,5
71,sels,8,5,8,10,9,8,8,6,2,7,7,9,3,7,4
58,sels,6,5,6,10,10,9,2,4,0,8,4,7,7,5,4
46,sels,8,8,8,0,10,8,9,8,5,3,9,9,6,6,2
23,sels,7,6,6,10,10,4,10,10,2,4,8,9,9,8,6
60,sels,5,4,4,6,6,7,3,6,5,8,7,7,7,3,4
40,sels,9,4,7,8,8,3,7,7,5,3,5,5,8,2,3
53,sels,5,5,9,10,6,9,10,10,5,9,8,9,8,5,2
48,sels,6,10,9,5,3,3,7,2,3,0,9,2,10,10,9
71,sels,5,5,7,8,8,10,8,8,3,10,7,10,5,7,5
27,sels,9,9,9,9,8,7,8,7,2,4,7,9,5,6,1
71,sels,6,5,5,8,7,8,8,7,6,6,2,9,4,4,5
64,sels,8,4,6,8,8,8,8,9,3,3,9,7,8,5,3
64,sels,7,6,8,9,8,10,9,8,9,9,10,8,1,1,2
18,sels,5,6,5,7,6,0,7,9,5,6,6,6,6,5,5
51,sels,0,10,10,0,6,10,0,0,0,10,0,10,10,10,0
59,sels,9,10,10,10,10,8,10,10,2,1,8,10,9,5,2
58,sels,5,7,5,7,5,8,7,6,5,8,7,8,5,3,4
59,sels,7,5,7,10,10,6,10,10,2,2,10,10,5,0,0
49,sels,4,3,7,8,8,9,3,7,4,9,8,9,5,2,4
65,sels,4,9,3,8,7,7,8,8,7,9,9,5,5,2,2
66,sels,1,1,4,9,6,4,5,2,9,10,8,5,4,2,3
64,sels,9,7,8,9,9,1,9,9,8,8,4,7,2,0,1
60,sels,9,10,9,8,9,8,10,9,8,8,7,5,8,8,2
48,sels,6,1,6,8,6,9,5,3,4,8,6,7,7,4,5
24,sels,6,7,9,9,7,8,8,7,4,8,6,6,7,4,7
54,sels,7,10,9,10,8,8,9,8,0,9,8,9,5,2,7
78,sels,2,5,6,10,10,10,5,8,2,10,10,10,10,2,6
68,sels,6,3,6,10,9,10,8,8,6,10,9,10,8,4,7
68,sels,4,4,6,9,7,8,6,5,3,6,7,8,6,5,4
51,sels,7,7,7,9,9,9,7,7,2,7,8,8,5,7,2
59,sels,5,10,9,8,8,7,8,7,2,10,5,9,8,8,6
65,sels,9,9,10,6,10,6,6,8,6,3,8,8,2,3,0
52,sels,8,8,8,8,8,5,8,8,4,7,8,7,4,4,2
56,sels,6,9,8,8,9,3,5,4,4,8,5,9,0,9,8
43,sels,6,4,5,8,7,8,7,6,3,8,8,8,5,3,2
39,sels,6,6,8,6,9,3,10,10,8,8,8,9,5,2,3
61,sels,6,8,8,5,4,2,1,1,2,8,4,5,6,5,9
64,sels,10,10,10,6,6,5,7,8,4,1,5,8,8,9,5
55,sels,7,2,6,10,10,8,8,6,4,7,9,4,9,3,5
36,sels,9,10,8,7,3,6,7,5,5,7,8,8,4,2,2
53,sels,4,5,6,6,6,8,3,3,3,8,7,8,5,4,4
52,sels,7,9,8,7,7,9,9,8,7,9,5,7,1,2,5
40,sels,8,2,7,9,7,8,7,4,4,8,9,8,6,8,6
35,sels,8,10,10,8,9,10,6,10,8,8,8,8,1,7,0
51,sels,10,8,9,7,8,1,2,2,5,2,10,5,2,1,2
65,sels,6,8,6,8,8,7,8,9,1,0,9,8,9,1,1
19,sels,7,5,7,9,4,7,9,10,6,8,6,8,7,6,2
39,sels,9,1,6,10,8,9,6,3,4,3,7,7,9,1,6
36,sels,2,2,3,9,9,10,9,9,8,8,7,8,3,3,3
43,sels,3,6,6,7,8,10,7,9,7,10,9,9,2,3,2
72,sels,1,8,8,8,8,9,9,8,9,9,8,8,8,1,2
49,sels,8,5,8,7,8,5,7,5,5,5,8,8,8,6,7
52,sels,5,8,9,8,9,2,9,9,2,2,7,9,8,5,1
28,sels,3,6,10,8,10,0,7,9,0,9,10,10,10,8,8
34,sels,6,7,8,9,9,8,8,9,3,9,3,10,9,6,8
87,sels,8,0,0,10,10,10,10,10,10,10,10,10,10,0,5
42,sels,7,6,8,8,10,10,7,3,1,8,9,8,2,1,6
49,sels,10,3,10,10,10,2,8,8,7,2,8,8,3,2,0
67,sels,9,10,10,8,10,2,7,9,3,2,6,7,6,8,4
55,sels,8,8,8,8,8,9,5,6,2,1,4,3,7,8,7
33,sels,6,5,6,8,9,8,6,5,0,3,6,7,10,10,3
73,sels,6,6,7,7,7,7,7,5,3,4,7,8,6,3,1
53,sels,7,4,6,8,7,3,5,6,5,5,7,5,5,4,3
72,sels,9,6,6,10,8,9,7,8,2,5,7,8,7,7,2
69,sels,7,6,6,9,9,9,8,7,4,8,9,9,2,6,2
35,sels,5,3,7,8,7,8,6,8,3,8,9,7,2,2,2
66,sels,2,3,3,8,7,5,5,7,5,5,7,7,5,8,4
35,sels,3,1,2,8,9,5,8,7,5,3,4,5,10,9,8
63,sels,5,2,4,8,7,5,4,7,3,9,6,8,1,8,1
60,sels,6,7,6,9,7,10,4,5,2,9,8,9,4,6,5
38,sels,3,6,3,8,7,9,3,2,2,8,5,9,2,5,3
31,sels,6,1,4,8,7,9,9,6,4,8,9,8,1,2,5
63,sels,10,10,10,10,10,0,10,10,6,1,8,9,6,7,1
26,sels,6,5,8,10,10,10,7,5,5,8,8,8,9,5,5
72,sels,8,8,8,8,8,6,8,8,5,4,6,8,2,5,4
52,sels,8,2,6,9,9,8,6,6,3,8,9,9,8,8,1
60,sels,5,10,6,9,10,9,10,10,3,9,7,8,9,4,4
68,sels,4,7,10,9,9,10,9,6,7,8,10,7,4,7,6
53,sels,7,5,8,9,8,3,6,5,2,3,8,8,7,1,2
46,sels,6,8,6,9,10,10,9,5,6,5,9,9,6,7,5
20,sels,8,2,5,9,7,3,4,2,9,3,9,6,1,1,1
40,sels,10,10,10,10,10,10,10,10,10,0,10,10,0,0,0
55,sels,7,5,7,8,7,10,8,7,8,3,5,7,2,3,1
26,sels,6,2,3,7,7,4,7,9,6,2,9,5,3,1,1
41,sels,7,10,8,7,7,6,10,8,9,5,7,5,7,5,3
31,sels,5,10,10,7,8,8,4,4,6,4,8,8,8,3,7
18,sels,7,0,8,9,5,9,6,6,6,7,10,9,2,1,1
39,sels,7,10,8,8,7,5,7,5,3,3,7,8,5,5,5
26,sels,8,6,9,8,7,7,6,7,2,3,6,8,9,8,3
53,sels,6,6,8,9,8,6,8,7,3,6,7,7,7,7,7
41,sels,2,5,1,10,10,2,5,5,1,10,6,9,10,8,6
56,sels,2,5,4,5,5,6,3,5,6,7,5,5,5,4,7
56,sels,2,5,2,8,8,8,6,2,8,2,1,7,10,7,8
25,sels,5,6,8,8,9,7,2,2,2,7,6,7,7,7,5
63,sels,5,6,6,8,7,5,6,3,3,8,4,8,4,4,1
48,sels,8,6,10,10,8,9,7,9,9,2,3,5,6,5,2
67,sels,9,7,9,8,8,8,8,8,3,8,4,8,9,8,5
28,sels,3,1,5,6,8,8,6,5,8,7,8,7,2,1,5
70,sels,10,10,10,10,10,10,10,10,7,8,10,8,2,3,2
38,sels,4,7,6,8,7,10,6,6,3,8,9,9,6,4,7
63,sels,5,10,10,10,10,10,10,9,9,9,5,9,5,4,4
57,sels,7,4,7,8,7,10,8,7,8,8,7,9,2,2,3
72,sels,5,6,6,9,8,10,7,7,4,7,7,9,6,2,2
64,sels,8,5,8,6,7,5,8,8,5,4,8,5,5,7,2
53,sels,3,5,10,9,9,10,10,10,2,5,2,6,8,9,8
47,sels,7,2,3,9,7,4,6,5,4,5,4,6,7,2,3
50,sels,7,10,9,10,10,10,7,5,6,3,10,8,9,10,7
93,sels,7,0,7,10,9,10,6,9,3,8,8,6,4,3,1
73,sels,7,10,10,9,10,3,9,10,5,10,0,10,0,0,0
30,sels,7,7,6,8,8,7,10,10,9,4,10,9,10,2,3
32,sels,10,3,10,8,8,2,10,10,10,2,8,7,10,7,8
66,sels,6,6,7,8,7,8,7,7,7,8,8,7,8,4,3
64,sels,7,7,5,7,5,5,5,5,4,4,7,5,6,7,6
27,sels,6,8,7,6,7,5,4,4,5,8,4,7,2,3,4
28,sels,7,4,7,9,9,9,9,10,9,9,9,9,1,3,3
36,sels,6,2,6,8,7,9,8,4,5,2,3,4,5,4,6
57,sels,3,3,4,10,4,6,10,4,3,4,6,6,1,1,2
66,sels,10,10,10,9,9,9,5,9,1,5,1,9,8,4,6
48,sels,7,9,8,9,9,9,9,9,5,8,9,9,5,9,6
82,sels,5,10,9,9,9,5,6,5,2,5,9,5,8,5,7
19,sels,8,10,7,9,8,2,9,8,5,2,9,7,7,7,7
49,sels,7,4,5,10,9,10,8,10,7,8,5,8,1,3,1
59,sels,8,2,5,10,10,10,10,10,0,10,10,10,2,2,1
44,sels,6,2,6,8,8,8,7,4,2,2,8,8,7,6,3
50,sels,8,6,8,8,8,10,10,5,5,2,5,5,5,7,0
35,sels,6,7,4,8,7,8,8,8,8,4,9,7,2,3,3
83,sels,3,7,3,2,3,5,6,6,6,8,8,7,7,2,2
47,sels,8,4,8,8,2,1,2,4,8,10,10,8,10,10,8
56,sels,8,7,6,10,10,10,10,9,6,7,10,8,1,1,2
57,sels,8,7,8,9,9,10,7,9,2,10,9,10,9,8,2
59,sels,7,8,8,9,8,3,6,7,5,9,8,8,3,1,2
40,sels,10,3,5,8,10,4,4,5,4,4,4,7,5,4,4
75,sels,6,8,5,7,6,4,3,3,2,4,4,4,6,8,7
50,sels,7,5,7,8,9,8,8,9,8,7,7,10,1,1,1
35,sels,1,0,9,9,8,8,9,5,1,9,0,9,9,5,6
60,sels,3,3,5,9,8,6,6,6,4,5,8,6,8,5,8
59,sels,4,10,10,10,10,10,10,10,4,10,10,10,10,6,2
38,sels,7,8,10,8,8,6,5,5,2,5,5,10,5,6,4
49,sels,8,0,9,9,9,10,7,9,5,10,8,9,4,1,3
74,sels,5,10,5,8,5,2,10,10,8,3,8,8,5,5,5
69,sels,5,7,7,9,8,7,7,5,2,10,9,8,4,6,3
69,sels,5,5,4,7,5,6,8,5,3,4,6,9,5,5,6
45,sels,7,3,6,8,5,7,8,7,7,4,7,5,6,3,2
80,sels,1,0,3,7,1,9,7,6,1,9,5,8,5,4,6
55,sels,5,9,5,9,8,1,10,8,1,10,0,0,2,1,2
48,sels,8,9,7,10,10,10,10,10,10,8,10,10,2,2,1
29,sels,7,7,6,10,10,8,8,8,5,4,5,7,2,2,2
34,sels,5,3,4,10,10,4,7,3,3,8,6,10,8,10,7
23,sels,3,6,6,9,7,5,5,8,6,9,9,7,4,2,5
41,sels,7,5,7,9,9,9,7,9,6,5,8,9,7,4,3
51,sels,5,2,9,7,6,9,8,7,7,8,9,8,4,1,5
33,sels,9,3,9,7,7,3,1,3,8,5,8,8,2,8,8
63,sels,3,1,2,5,8,8,6,3,7,3,7,3,3,9,8
52,sels,5,8,6,7,7,8,6,8,4,7,6,8,6,5,5
59,sels,8,8,9,8,8,8,6,7,4,3,8,9,7,3,3
58,sels,7,10,9,10,7,8,10,7,0,2,7,9,10,7,5
53,sels,6,8,8,8,9,8,6,7,5,8,8,8,2,6,4
57,sels,6,2,7,7,10,5,6,4,2,5,4,9,8,3,5
33,sels,5,5,7,8,8,9,3,4,2,8,6,7,5,2,3
60,sels,9,9,9,9,9,1,9,9,10,1,9,9,9,9,3
61,sels,8,10,9,8,6,6,9,5,6,5,8,5,2,6,2
68,sels,9,10,10,10,10,10,7,7,0,7,6,7,6,2,4
67,sels,7,10,8,10,9,10,8,10,2,2,10,8,8,8,3
31,sels,8,9,9,9,9,8,9,8,5,5,8,9,8,9,8
79,sels,7,9,8,8,8,7,9,6,1,2,9,10,10,5,2
69,sels,5,0,8,10,10,10,9,9,5,8,5,9,0,0,2
40,sels,7,1,6,9,8,9,7,3,4,9,6,8,4,2,4
62,sels,5,9,8,9,9,3,10,9,9,7,1,10,3,7,3
28,sels,10,2,9,10,10,10,10,9,5,8,10,10,8,4,7
65,sels,5,4,5,8,6,8,7,5,5,5,8,7,7,5,4
53,sels,4,3,5,8,8,10,8,8,5,9,8,8,2,2,3
75,sels,8,8,10,8,10,10,10,10,10,10,10,10,8,0,0
62,sels,7,4,7,8,8,9,8,9,6,2,7,7,4,9,1
78,sels,4,8,8,5,10,5,2,10,0,6,10,10,2,5,4
32,sels,8,3,5,7,9,3,5,7,5,3,10,10,9,9,5
49,sels,3,0,2,10,8,10,10,5,10,0,1,5,10,10,8
89,sels,8,7,9,10,10,0,5,6,2,2,6,7,10,9,1
43,sels,7,8,8,10,9,3,5,6,1,4,5,7,5,9,7
26,sels,5,5,7,7,6,3,8,8,6,1,7,8,3,3,4
65,sels,8,5,8,8,8,3,6,8,4,4,9,7,8,6,2
41,sels,7,5,7,9,8,10,8,7,3,8,8,8,2,2,3
78,sels,2,2,2,8,5,8,8,8,2,8,2,8,8,2,2
63,sels,3,7,5,9,6,10,10,9,9,9,6,7,2,2,4
28,sels,7,10,7,10,7,8,6,5,2,1,7,7,7,8,2
37,sels,8,5,7,10,9,10,10,8,5,9,8,10,8,5,3
25,sels,6,7,5,9,8,8,3,5,2,4,7,7,3,5,3
47,sels,5,5,6,8,5,3,6,8,6,8,9,8,9,5,3
59,sels,8,7,7,8,8,10,10,10,5,6,6,7,2,3,3
66,sels,2,8,2,10,8,1,2,5,2,6,2,8,5,2,2
68,sels,0,6,4,8,10,10,1,7,7,10,10,10,6,0,2
30,sels,6,0,8,9,9,8,6,7,4,4,7,8,9,9,8
46,sels,9,6,9,8,9,8,3,3,1,7,7,8,6,0,1
64,sels,1,8,2,2,3,7,1,2,2,8,3,5,1,8,9
49,sels,3,6,6,8,9,4,5,7,3,4,7,9,5,2,2
47,sels,8,8,6,10,10,8,10,10,7,2,8,4,1,5,2
38,sels,9,8,8,9,9,9,6,9,5,8,9,9,5,4,1
61,sels,5,10,8,8,8,10,5,5,0,5,5,8,10,10,10
28,sels,8,8,10,5,6,7,10,8,8,7,9,8,1,2,2
