outcome,trait,dataset,est,se,mod,Data,name,pval,pval_text,est_abs
polpar,Openness,shp,-0.036763225095835295,0.04751211516432193,student,SHP,Participation,0.43906960798804234,p =  0.44,0.036763225095835295
media,Conscientiousness,shp,NA,NA,student,SHP,Media use,NA,p =  NA,NA
poltr,Extraversion,shp,0.04645410917730465,0.04238198414872116,student,SHP,Political trust,0.27304310553780853,p =  0.27,0.04645410917730465
knowledge,Agreeableness,shp,NA,NA,student,SHP,Knowledge,NA,p =  NA,NA
ideology,Neuroticism,shp,-0.03425518628025661,0.043181737737395365,student,SHP,Left-right ideology,0.42761501189087064,p =  0.43,0.03425518628025661
stfdem,Openness,shp,-0.04434614930791647,0.03800573382683418,student,SHP,Sat. democracy,0.24327989104880657,p =  0.24,0.04434614930791647
polintr,Conscientiousness,shp,0.012198616764561583,0.03864368900061276,student,SHP,Interest,0.7522537175680405,p =  0.75,0.012198616764561583
poleff,Extraversion,shp,NA,NA,student,SHP,Efficacy,NA,p =  NA,NA
involvement,Agreeableness,shp,NA,NA,student,SHP,Involvement,NA,p =  NA,NA
polpar,Neuroticism,shp,-0.007882326627162286,0.05174860652259715,student,SHP,Participation,0.8789348731129282,p =  0.88,0.007882326627162286
media,Openness,shp,NA,NA,student,SHP,Media use,NA,p =  NA,NA
poltr,Conscientiousness,shp,0.07122067797131301,0.03923647682058635,student,SHP,Political trust,0.06949856239987738,p =  0.07,0.07122067797131301
knowledge,Extraversion,shp,NA,NA,student,SHP,Knowledge,NA,p =  NA,NA
ideology,Agreeableness,shp,0.004454491184058707,0.04399124338798163,student,SHP,Left-right ideology,0.9193451892646126,p =  0.92,0.004454491184058707
stfdem,Neuroticism,shp,-0.0014214246487135075,0.04201165180349029,student,SHP,Sat. democracy,0.9730094774144922,p =  0.97,0.0014214246487135075
polintr,Openness,shp,-0.14243875006707524,0.03709804636816691,student,SHP,Interest,1.232742879757077e-4,p < 0.01,0.14243875006707524
poleff,Conscientiousness,shp,NA,NA,student,SHP,Efficacy,NA,p =  NA,NA
involvement,Extraversion,shp,NA,NA,student,SHP,Involvement,NA,p =  NA,NA
polpar,Agreeableness,shp,-0.02435758334254509,0.05237955221612698,student,SHP,Participation,0.6419165330512757,p =  0.64,0.02435758334254509
media,Neuroticism,shp,NA,NA,student,SHP,Media use,NA,p =  NA,NA
poltr,Openness,shp,0.001309550582642229,0.03821952620781883,student,SHP,Political trust,0.9726666999278739,p =  0.97,0.001309550582642229
knowledge,Conscientiousness,shp,NA,NA,student,SHP,Knowledge,NA,p =  NA,NA
ideology,Extraversion,shp,-0.021027433996890842,0.04402798451259988,student,SHP,Left-right ideology,0.6329402893579246,p =  0.63,0.021027433996890842
stfdem,Agreeableness,shp,0.015228848505608477,0.04197032396924705,student,SHP,Sat. democracy,0.7167184260644444,p =  0.72,0.015228848505608477
polintr,Neuroticism,shp,0.016392407074838543,0.04151485737401637,student,SHP,Interest,0.692948869550263,p =  0.69,0.016392407074838543
poleff,Openness,shp,NA,NA,student,SHP,Efficacy,NA,p =  NA,NA
involvement,Conscientiousness,shp,NA,NA,student,SHP,Involvement,NA,p =  NA,NA
polpar,Extraversion,shp,0.007026824991426509,0.050711806859747306,student,SHP,Participation,0.8897947832606281,p =  0.89,0.007026824991426509
media,Agreeableness,shp,NA,NA,student,SHP,Media use,NA,p =  NA,NA
poltr,Neuroticism,shp,0.002013435618958162,0.042116063880986154,student,SHP,Political trust,0.9618701910961363,p =  0.96,0.002013435618958162
knowledge,Openness,shp,NA,NA,student,SHP,Knowledge,NA,p =  NA,NA
ideology,Conscientiousness,shp,-0.004511697644265353,0.04075188720100041,student,SHP,Left-right ideology,0.9118452220187216,p =  0.91,0.004511697644265353
stfdem,Extraversion,shp,0.04377480706409028,0.04222098270056045,student,SHP,Sat. democracy,0.2998280576317544,p =  0.3,0.04377480706409028
polintr,Agreeableness,shp,-0.06348641681050878,0.041319972296614736,student,SHP,Interest,0.12442600322490657,p =  0.12,0.06348641681050878
poleff,Neuroticism,shp,NA,NA,student,SHP,Efficacy,NA,p =  NA,NA
involvement,Openness,shp,NA,NA,student,SHP,Involvement,NA,p =  NA,NA
polpar,Conscientiousness,shp,0.04270192741023574,0.047361491275008445,student,SHP,Participation,0.3672603377978622,p =  0.37,0.04270192741023574
media,Extraversion,shp,NA,NA,student,SHP,Media use,NA,p =  NA,NA
poltr,Agreeableness,shp,0.06364658014545663,0.041858335697833704,student,SHP,Political trust,0.12837947482453782,p =  0.13,0.06364658014545663
knowledge,Neuroticism,shp,NA,NA,student,SHP,Knowledge,NA,p =  NA,NA
ideology,Openness,lapop,0.014913536521837963,0.023579899503365222,student,LAPOP,Left-right ideology,0.5270809835453127,p =  0.53,0.014913536521837963
stfdem,Conscientiousness,lapop,-0.04831367689632247,0.019026655046022512,student,LAPOP,Sat. democracy,0.011108635229389575,p =  0.01,0.04831367689632247
polintr,Extraversion,lapop,-0.05292385058887305,0.019414313218972468,student,LAPOP,Interest,0.006410266914294585,p < 0.01,0.05292385058887305
poleff,Agreeableness,lapop,0.04265571869490022,0.019792767821480938,student,LAPOP,Efficacy,0.031152726034890832,p =  0.03,0.04265571869490022
involvement,Neuroticism,lapop,-0.02730725877261158,0.020555614606291267,student,LAPOP,Involvement,0.1840270407836758,p =  0.18,0.02730725877261158
polpar,Openness,lapop,-0.027630187959963224,0.020668759877564332,student,LAPOP,Participation,0.18128493164659965,p =  0.18,0.027630187959963224
media,Conscientiousness,lapop,-0.026802671879406756,0.019230219175536488,student,LAPOP,Media use,0.16338441077745955,p =  0.16,0.026802671879406756
poltr,Extraversion,lapop,0.024228603742455238,0.019172408094199404,student,LAPOP,Political trust,0.2063296415857086,p =  0.21,0.024228603742455238
knowledge,Agreeableness,lapop,-0.011574812382710289,0.019847104305664266,student,LAPOP,Knowledge,0.55975931040916,p =  0.56,0.011574812382710289
ideology,Neuroticism,lapop,0.014227098165569113,0.022583759288883683,student,LAPOP,Left-right ideology,0.528714000142392,p =  0.53,0.014227098165569113
stfdem,Openness,lapop,-0.023756260870732113,0.020427543599537704,student,LAPOP,Sat. democracy,0.24484881523229218,p =  0.24,0.023756260870732113
polintr,Conscientiousness,lapop,-0.026145630699052638,0.018729867033926137,student,LAPOP,Interest,0.16273481324616818,p =  0.16,0.026145630699052638
poleff,Extraversion,lapop,-0.03362432952054725,0.02006228058947231,student,LAPOP,Efficacy,0.09373870760295781,p =  0.09,0.03362432952054725
involvement,Agreeableness,lapop,0.027340182052035845,0.020578040931997967,student,LAPOP,Involvement,0.18397681408694871,p =  0.18,0.027340182052035845
polpar,Neuroticism,lapop,0.07418715360460187,0.019598909430936694,student,LAPOP,Participation,1.5354210839898873e-4,p < 0.01,0.07418715360460187
media,Openness,lapop,-0.005214941192714202,0.02065279008824663,student,LAPOP,Media use,0.8006504343403346,p =  0.8,0.005214941192714202
poltr,Conscientiousness,lapop,0.01799855777814858,0.018468824158790694,student,LAPOP,Political trust,0.3297898350232998,p =  0.33,0.01799855777814858
knowledge,Extraversion,lapop,-0.03729152357409188,0.0199263307870771,student,LAPOP,Knowledge,0.06128001090322849,p =  0.06,0.03729152357409188
ideology,Agreeableness,lapop,-0.027070201343789433,0.02260503166442315,student,LAPOP,Left-right ideology,0.23110007998062096,p =  0.23,0.027070201343789433
stfdem,Neuroticism,lapop,0.008795560833344936,0.01953553924504639,student,LAPOP,Sat. democracy,0.6525418388415865,p =  0.65,0.008795560833344936
polintr,Openness,lapop,-0.050013232706051555,0.020112353197743363,student,LAPOP,Interest,0.01289368850362119,p =  0.01,0.050013232706051555
poleff,Conscientiousness,lapop,0.042735720966636456,0.01922616895232898,student,LAPOP,Efficacy,0.02623001676200959,p =  0.03,0.042735720966636456
involvement,Extraversion,lapop,-0.024319590513401938,0.02065641292237592,student,LAPOP,Involvement,0.23906042005755054,p =  0.24,0.024319590513401938
polpar,Agreeableness,lapop,-0.04754706884653425,0.01953468081167913,student,LAPOP,Participation,0.014933722128440137,p =  0.01,0.04754706884653425
media,Neuroticism,lapop,0.027957145650439212,0.019870618203250087,student,LAPOP,Media use,0.15943953878043873,p =  0.16,0.027957145650439212
poltr,Openness,lapop,-0.017636050390893717,0.019889444803908654,student,LAPOP,Political trust,0.37523828084335864,p =  0.38,0.017636050390893717
knowledge,Conscientiousness,lapop,-0.0403443628773635,0.019388475083761705,student,LAPOP,Knowledge,0.03744832504652677,p =  0.04,0.0403443628773635
ideology,Extraversion,lapop,9.622076025641893e-4,0.022761947339807995,student,LAPOP,Left-right ideology,0.9662813560065215,p =  0.97,9.622076025641893e-4
stfdem,Agreeableness,lapop,0.013720499201660014,0.019596290062058843,student,LAPOP,Sat. democracy,0.483828639432039,p =  0.48,0.013720499201660014
polintr,Neuroticism,lapop,-7.926988874158242e-4,0.01927389862267505,student,LAPOP,Interest,0.9671937706131304,p =  0.97,7.926988874158242e-4
poleff,Openness,lapop,-0.0594486886791578,0.02081848054693362,student,LAPOP,Efficacy,0.004295926063742411,p < 0.01,0.0594486886791578
involvement,Conscientiousness,lapop,-0.0054737319384033575,0.01996341237126666,student,LAPOP,Involvement,0.7839400021761754,p =  0.78,0.0054737319384033575
polpar,Extraversion,lapop,0.021023698442996803,0.019750059090024658,student,LAPOP,Participation,0.28710774401581934,p =  0.29,0.021023698442996803
media,Agreeableness,lapop,-0.008855599623369998,0.019791001706312563,student,LAPOP,Media use,0.6545459536175782,p =  0.65,0.008855599623369998
poltr,Neuroticism,lapop,-0.007136119632918805,0.018950245065823736,student,LAPOP,Political trust,0.7064921719556887,p =  0.71,0.007136119632918805
knowledge,Openness,lapop,-0.04362161970291796,0.021009050754723736,student,LAPOP,Knowledge,0.03786389208721055,p =  0.04,0.04362161970291796
ideology,Conscientiousness,lapop,0.0060804418021394215,0.021967402057171133,student,LAPOP,Left-right ideology,0.7819384033089178,p =  0.78,0.0060804418021394215
stfdem,Extraversion,lapop,0.0024291577281770867,0.019838791380709635,student,LAPOP,Sat. democracy,0.9025467248026979,p =  0.9,0.0024291577281770867
polintr,Agreeableness,lapop,-0.03980448828611136,0.01924609641665179,student,LAPOP,Interest,0.038622628413013324,p =  0.04,0.03980448828611136
poleff,Neuroticism,lapop,-0.048721151399978034,0.019771374629820884,student,LAPOP,Efficacy,0.013730919288025448,p =  0.01,0.048721151399978034
involvement,Openness,lapop,0.002337987344585046,0.02178533928265376,student,LAPOP,Involvement,0.9145356744171257,p =  0.91,0.002337987344585046
polpar,Conscientiousness,lapop,-0.0600782821825371,0.018932653067458068,student,LAPOP,Participation,0.0015073605661695747,p < 0.01,0.0600782821825371
media,Extraversion,lapop,-0.02803658504986591,0.019796648284409957,student,LAPOP,Media use,0.15670850253662152,p =  0.16,0.02803658504986591
poltr,Agreeableness,lapop,0.005307928289079594,0.018958167993239506,student,LAPOP,Political trust,0.7794920230368751,p =  0.78,0.005307928289079594
knowledge,Neuroticism,lapop,0.03215032946362807,0.0197556308906271,student,LAPOP,Knowledge,0.10365200230058493,p =  0.1,0.03215032946362807
ideology,Openness,sels,-0.0992641728647198,0.048934151050382145,student,SELECTS,Left-right ideology,0.042506644206815034,p =  0.04,0.0992641728647198
stfdem,Conscientiousness,sels,-9.002887505795696e-5,0.04229931211017843,student,SELECTS,Sat. democracy,0.9983018022842872,p =  1,9.002887505795696e-5
polintr,Extraversion,sels,-0.0021918502297041714,0.04076465366295478,student,SELECTS,Interest,0.9571196857299438,p =  0.96,0.0021918502297041714
poleff,Agreeableness,sels,-0.06747578296752965,0.05354186531024345,student,SELECTS,Efficacy,0.20758156707288553,p =  0.21,0.06747578296752965
involvement,Neuroticism,sels,0.02397290153603852,0.044148083860329285,student,SELECTS,Involvement,0.5871221294148856,p =  0.59,0.02397290153603852
polpar,Openness,sels,-0.019897916368407445,0.043558979076756765,student,SELECTS,Participation,0.6478119223611674,p =  0.65,0.019897916368407445
media,Conscientiousness,sels,0.10678920656850965,0.04169505598894706,student,SELECTS,Media use,0.010431251740231585,p =  0.01,0.10678920656850965
poltr,Extraversion,sels,-0.01152229529708506,0.04199877393215526,student,SELECTS,Political trust,0.7838169136935386,p =  0.78,0.01152229529708506
knowledge,Agreeableness,sels,0.0591597837601641,0.052852304991776934,student,SELECTS,Knowledge,0.26299443396559014,p =  0.26,0.0591597837601641
ideology,Neuroticism,sels,0.036157623874774746,0.04617890618725125,student,SELECTS,Left-right ideology,0.4336329574382276,p =  0.43,0.036157623874774746
stfdem,Openness,sels,-0.07673508286002736,0.04715834736047647,student,SELECTS,Sat. democracy,0.10369903981230116,p =  0.1,0.07673508286002736
polintr,Conscientiousness,sels,0.045773623327610556,0.04176165197036121,student,SELECTS,Interest,0.27304888131168964,p =  0.27,0.045773623327610556
poleff,Extraversion,sels,0.017959530884035464,0.044912299050965734,student,SELECTS,Efficacy,0.6892448916054743,p =  0.69,0.017959530884035464
involvement,Agreeableness,sels,0.08021799239290804,0.04917817059383594,student,SELECTS,Involvement,0.10285429973325735,p =  0.1,0.08021799239290804
polpar,Neuroticism,sels,-0.05180474474181528,0.03993180728249004,student,SELECTS,Participation,0.1945175526820485,p =  0.19,0.05180474474181528
media,Openness,sels,-0.016798578032907734,0.0468067305710668,student,SELECTS,Media use,0.7196756146988277,p =  0.72,0.016798578032907734
poltr,Conscientiousness,sels,0.08939531343095311,0.042907748875478484,student,SELECTS,Political trust,0.0372119990021989,p =  0.04,0.08939531343095311
knowledge,Extraversion,sels,0.0332712931348033,0.044357249926547694,student,SELECTS,Knowledge,0.45320914308475324,p =  0.45,0.0332712931348033
ideology,Agreeableness,sels,-0.005669481293190704,0.051184056772413146,student,SELECTS,Left-right ideology,0.9118014727171209,p =  0.91,0.005669481293190704
stfdem,Neuroticism,sels,0.06869970479028806,0.043254419311659124,student,SELECTS,Sat. democracy,0.11222525521035683,p =  0.11,0.06869970479028806
polintr,Openness,sels,-0.03564095958575588,0.046329340538707325,student,SELECTS,Interest,0.44171782615181376,p =  0.44,0.03564095958575588
poleff,Conscientiousness,sels,0.07637059728625774,0.047389418781755184,student,SELECTS,Efficacy,0.10705907391532107,p =  0.11,0.07637059728625774
involvement,Extraversion,sels,0.020927115858185616,0.041867587656977366,student,SELECTS,Involvement,0.6171873922841208,p =  0.62,0.020927115858185616
polpar,Agreeableness,sels,0.033064982991164484,0.04476379503520846,student,SELECTS,Participation,0.4601167621818085,p =  0.46,0.033064982991164484
media,Neuroticism,sels,0.018180675022508926,0.042875597302804054,student,SELECTS,Media use,0.6715416299022634,p =  0.67,0.018180675022508926
poltr,Openness,sels,-0.04508651979734243,0.04769012629794124,student,SELECTS,Political trust,0.34445176587868737,p =  0.34,0.04508651979734243
knowledge,Conscientiousness,sels,0.14698783714355612,0.046752457309478114,student,SELECTS,Knowledge,0.0016667844718064558,p < 0.01,0.14698783714355612
ideology,Extraversion,sels,-0.0921462189454486,0.04387612204166422,student,SELECTS,Left-right ideology,0.03571608658145672,p =  0.04,0.0921462189454486
stfdem,Agreeableness,sels,-0.06866727420699409,0.0483428909781496,student,SELECTS,Sat. democracy,0.15548505241322222,p =  0.16,0.06866727420699409
polintr,Neuroticism,sels,0.05525453601281884,0.04256396484702237,student,SELECTS,Interest,0.1942347863405528,p =  0.19,0.05525453601281884
poleff,Openness,sels,-0.039533255781350536,0.05162694120498471,student,SELECTS,Efficacy,0.4438259282545384,p =  0.44,0.039533255781350536
involvement,Conscientiousness,sels,-0.004270110838653532,0.042915445976104874,student,SELECTS,Involvement,0.920740844561302,p =  0.92,0.004270110838653532
polpar,Extraversion,sels,-0.025248687748789196,0.0382667150541911,student,SELECTS,Participation,0.5093769981593799,p =  0.51,0.025248687748789196
media,Agreeableness,sels,0.04128785626344814,0.0480083236787519,student,SELECTS,Media use,0.3897810291975564,p =  0.39,0.04128785626344814
poltr,Neuroticism,sels,0.03528012711148699,0.04406539229885787,student,SELECTS,Political trust,0.4233451934485165,p =  0.42,0.03528012711148699
knowledge,Openness,sels,-0.013388231664348346,0.05097286938212833,student,SELECTS,Knowledge,0.7928172199508434,p =  0.79,0.013388231664348346
ideology,Conscientiousness,sels,-0.03589867912254444,0.044401335465024304,student,SELECTS,Left-right ideology,0.4188002218696909,p =  0.42,0.03589867912254444
stfdem,Extraversion,sels,-0.046887451913888836,0.041417567439375275,student,SELECTS,Sat. democracy,0.2576063628636734,p =  0.26,0.046887451913888836
polintr,Agreeableness,sels,0.013110218118459917,0.047867596601507474,student,SELECTS,Interest,0.7841729764059446,p =  0.78,0.013110218118459917
poleff,Neuroticism,sels,0.04764542032196519,0.04809326417987348,student,SELECTS,Efficacy,0.32183794614529404,p =  0.32,0.04764542032196519
involvement,Openness,sels,0.010380784678540408,0.047340202267885635,student,SELECTS,Involvement,0.8264315270729066,p =  0.83,0.010380784678540408
polpar,Conscientiousness,sels,0.10955839437142431,0.039022214812348424,student,SELECTS,Participation,0.004991367354107145,p < 0.01,0.10955839437142431
media,Extraversion,sels,-0.02446335632978079,0.04094045233911802,student,SELECTS,Media use,0.5501501953630233,p =  0.55,0.02446335632978079
poltr,Agreeableness,sels,-0.1080973314250445,0.04862332051543591,student,SELECTS,Political trust,0.026205137496884422,p =  0.03,0.1080973314250445
knowledge,Neuroticism,sels,0.012967820406333916,0.04715282864359346,student,SELECTS,Knowledge,0.7833033253741637,p =  0.78,0.012967820406333916
ideology,Openness,nzes,NA,NA,student,NZES,Left-right ideology,NA,p =  NA,NA
stfdem,Conscientiousness,nzes,NA,NA,student,NZES,Sat. democracy,NA,p =  NA,NA
polintr,Extraversion,nzes,NA,NA,student,NZES,Interest,NA,p =  NA,NA
poleff,Agreeableness,nzes,NA,NA,student,NZES,Efficacy,NA,p =  NA,NA
involvement,Neuroticism,nzes,NA,NA,student,NZES,Involvement,NA,p =  NA,NA
polpar,Openness,nzes,NA,NA,student,NZES,Participation,NA,p =  NA,NA
media,Conscientiousness,nzes,NA,NA,student,NZES,Media use,NA,p =  NA,NA
poltr,Extraversion,nzes,NA,NA,student,NZES,Political trust,NA,p =  NA,NA
knowledge,Agreeableness,nzes,NA,NA,student,NZES,Knowledge,NA,p =  NA,NA
ideology,Neuroticism,nzes,NA,NA,student,NZES,Left-right ideology,NA,p =  NA,NA
stfdem,Openness,nzes,NA,NA,student,NZES,Sat. democracy,NA,p =  NA,NA
polintr,Conscientiousness,nzes,NA,NA,student,NZES,Interest,NA,p =  NA,NA
poleff,Extraversion,nzes,NA,NA,student,NZES,Efficacy,NA,p =  NA,NA
involvement,Agreeableness,nzes,NA,NA,student,NZES,Involvement,NA,p =  NA,NA
polpar,Neuroticism,nzes,NA,NA,student,NZES,Participation,NA,p =  NA,NA
media,Openness,nzes,NA,NA,student,NZES,Media use,NA,p =  NA,NA
poltr,Conscientiousness,nzes,NA,NA,student,NZES,Political trust,NA,p =  NA,NA
knowledge,Extraversion,nzes,NA,NA,student,NZES,Knowledge,NA,p =  NA,NA
ideology,Agreeableness,nzes,NA,NA,student,NZES,Left-right ideology,NA,p =  NA,NA
stfdem,Neuroticism,nzes,NA,NA,student,NZES,Sat. democracy,NA,p =  NA,NA
polintr,Openness,nzes,NA,NA,student,NZES,Interest,NA,p =  NA,NA
poleff,Conscientiousness,nzes,NA,NA,student,NZES,Efficacy,NA,p =  NA,NA
involvement,Extraversion,nzes,NA,NA,student,NZES,Involvement,NA,p =  NA,NA
polpar,Agreeableness,nzes,NA,NA,student,NZES,Participation,NA,p =  NA,NA
media,Neuroticism,nzes,NA,NA,student,NZES,Media use,NA,p =  NA,NA
poltr,Openness,nzes,NA,NA,student,NZES,Political trust,NA,p =  NA,NA
knowledge,Conscientiousness,nzes,NA,NA,student,NZES,Knowledge,NA,p =  NA,NA
ideology,Extraversion,nzes,NA,NA,student,NZES,Left-right ideology,NA,p =  NA,NA
stfdem,Agreeableness,nzes,NA,NA,student,NZES,Sat. democracy,NA,p =  NA,NA
polintr,Neuroticism,nzes,NA,NA,student,NZES,Interest,NA,p =  NA,NA
poleff,Openness,nzes,NA,NA,student,NZES,Efficacy,NA,p =  NA,NA
involvement,Conscientiousness,nzes,NA,NA,student,NZES,Involvement,NA,p =  NA,NA
polpar,Extraversion,nzes,NA,NA,student,NZES,Participation,NA,p =  NA,NA
media,Agreeableness,nzes,NA,NA,student,NZES,Media use,NA,p =  NA,NA
poltr,Neuroticism,nzes,NA,NA,student,NZES,Political trust,NA,p =  NA,NA
knowledge,Openness,nzes,NA,NA,student,NZES,Knowledge,NA,p =  NA,NA
ideology,Conscientiousness,nzes,NA,NA,student,NZES,Left-right ideology,NA,p =  NA,NA
stfdem,Extraversion,nzes,NA,NA,student,NZES,Sat. democracy,NA,p =  NA,NA
polintr,Agreeableness,nzes,NA,NA,student,NZES,Interest,NA,p =  NA,NA
poleff,Neuroticism,nzes,NA,NA,student,NZES,Efficacy,NA,p =  NA,NA
involvement,Openness,nzes,NA,NA,student,NZES,Involvement,NA,p =  NA,NA
polpar,Conscientiousness,nzes,NA,NA,student,NZES,Participation,NA,p =  NA,NA
media,Extraversion,nzes,NA,NA,student,NZES,Media use,NA,p =  NA,NA
poltr,Agreeableness,nzes,NA,NA,student,NZES,Political trust,NA,p =  NA,NA
knowledge,Neuroticism,nzes,NA,NA,student,NZES,Knowledge,NA,p =  NA,NA
ideology,Openness,ces,-0.05032875623379831,0.08252845633952238,student,CES,Left-right ideology,0.5419709930008556,p =  0.54,0.05032875623379831
stfdem,Conscientiousness,ces,-0.11107592901880439,0.07147415335040763,student,CES,Sat. democracy,0.12016741485219704,p =  0.12,0.11107592901880439
polintr,Extraversion,ces,0.07444951599918735,0.0695670758761965,student,CES,Interest,0.284536854035787,p =  0.28,0.07444951599918735
poleff,Agreeableness,ces,0.11342708830249129,0.08682228828352805,student,CES,Efficacy,0.19140697133180584,p =  0.19,0.11342708830249129
involvement,Neuroticism,ces,0.07915518101594679,0.07911634026217394,student,CES,Involvement,0.3170729837729401,p =  0.32,0.07915518101594679
polpar,Openness,ces,0.14456072308160406,0.12829327130631932,student,CES,Participation,0.2598274956194556,p =  0.26,0.14456072308160406
media,Conscientiousness,ces,-0.03379550872725379,0.07737491952362929,student,CES,Media use,0.6622737977536391,p =  0.66,0.03379550872725379
poltr,Extraversion,ces,NA,NA,student,CES,Political trust,NA,p =  NA,NA
knowledge,Agreeableness,ces,-0.057717909088448156,0.09375374911898983,student,CES,Knowledge,0.5381367151247448,p =  0.54,0.057717909088448156
ideology,Neuroticism,ces,-0.08649122896359021,0.08373308941454856,student,CES,Left-right ideology,0.3016321369820338,p =  0.3,0.08649122896359021
stfdem,Openness,ces,-0.09338085455267503,0.07630451774322458,student,CES,Sat. democracy,0.2210307219120118,p =  0.22,0.09338085455267503
polintr,Conscientiousness,ces,-0.06535125658080454,0.07279144444238447,student,CES,Interest,0.3692987939515235,p =  0.37,0.06535125658080454
poleff,Extraversion,ces,-0.037433444077341546,0.06910399246622612,student,CES,Efficacy,0.5880270706040842,p =  0.59,0.037433444077341546
involvement,Agreeableness,ces,0.05087349554402558,0.08727440450819308,student,CES,Involvement,0.5599510156974832,p =  0.56,0.05087349554402558
polpar,Neuroticism,ces,0.13388631536798784,0.1315846059384667,student,CES,Participation,0.3089193222390995,p =  0.31,0.13388631536798784
media,Openness,ces,0.0604164356600398,0.08176327817362553,student,CES,Media use,0.45995621459232217,p =  0.46,0.0604164356600398
poltr,Conscientiousness,ces,NA,NA,student,CES,Political trust,NA,p =  NA,NA
knowledge,Extraversion,ces,0.008296894210643323,0.07328033227308335,student,CES,Knowledge,0.9098551122497638,p =  0.91,0.008296894210643323
ideology,Agreeableness,ces,0.09745675207340446,0.09515420951957552,student,CES,Left-right ideology,0.30574175831057226,p =  0.31,0.09745675207340446
stfdem,Neuroticism,ces,0.09804527877449361,0.078073677835930555,student,CES,Sat. democracy,0.20918684660648662,p =  0.21,0.09804527877449361
polintr,Openness,ces,-0.10362856730673706,0.07736981618285556,student,CES,Interest,0.18044286333671306,p =  0.18,0.10362856730673706
poleff,Conscientiousness,ces,-0.04684008930488203,0.07269196557897568,student,CES,Efficacy,0.5193393911833919,p =  0.52,0.04684008930488203
involvement,Extraversion,ces,-0.06969726685353929,0.06780327275610123,student,CES,Involvement,0.30398103105970853,p =  0.3,0.06969726685353929
polpar,Agreeableness,ces,0.2238021205469193,0.14647530106511628,student,CES,Participation,0.12653311634516795,p =  0.13,0.2238021205469193
media,Neuroticism,ces,0.10920020021644745,0.08468970578465095,student,CES,Media use,0.19725375405920198,p =  0.2,0.10920020021644745
poltr,Openness,ces,NA,NA,student,CES,Political trust,NA,p =  NA,NA
knowledge,Conscientiousness,ces,-0.08866227382513486,0.07548934309548837,student,CES,Knowledge,0.24019459792067338,p =  0.24,0.08866227382513486
ideology,Extraversion,ces,-0.09162942077897175,0.07241543423473323,student,CES,Left-right ideology,0.20575305977010486,p =  0.21,0.09162942077897175
stfdem,Agreeableness,ces,-0.054912656711541726,0.08731631316605404,student,CES,Sat. democracy,0.5294188198600419,p =  0.53,0.054912656711541726
polintr,Neuroticism,ces,-0.04916517793845592,0.08104065996780702,student,CES,Interest,0.5440679632471881,p =  0.54,0.04916517793845592
poleff,Openness,ces,-0.034324304414060355,0.07523130712551962,student,CES,Efficacy,0.6482100179837069,p =  0.65,0.034324304414060355
involvement,Conscientiousness,ces,-0.05123732502728931,0.07036911706940532,student,CES,Involvement,0.4665387096669354,p =  0.47,0.05123732502728931
polpar,Extraversion,ces,-0.06771298352393236,0.11544147002312766,student,CES,Participation,0.55750137855431,p =  0.56,0.06771298352393236
media,Agreeableness,ces,0.027597195956263563,0.09324493505922449,student,CES,Media use,0.7672571483569182,p =  0.77,0.027597195956263563
poltr,Neuroticism,ces,NA,NA,student,CES,Political trust,NA,p =  NA,NA
knowledge,Openness,ces,0.035451510061940555,0.08090417944147071,student,CES,Knowledge,0.6612475923586929,p =  0.66,0.035451510061940555
ideology,Conscientiousness,ces,-0.0011375819833720374,0.07607958835640295,student,CES,Left-right ideology,0.9880700553220847,p =  0.99,0.0011375819833720374
stfdem,Extraversion,ces,-0.14828994321304825,0.0685664614395176,student,CES,Sat. democracy,0.0305628501359734,p =  0.03,0.14828994321304825
polintr,Agreeableness,ces,0.16208396741816253,0.08986391850525642,student,CES,Interest,0.07128460259185039,p =  0.07,0.16208396741816253
poleff,Neuroticism,ces,0.005123201588023075,0.07827747474440758,student,CES,Efficacy,0.9478163166092886,p =  0.95,0.005123201588023075
involvement,Openness,ces,-0.05845091883290136,0.0751668748464041,student,CES,Involvement,0.43679578438102556,p =  0.44,0.05845091883290136
polpar,Conscientiousness,ces,0.05581841826488175,0.1236546328337076,student,CES,Participation,0.6516971049847037,p =  0.65,0.05581841826488175
media,Extraversion,ces,0.14869012915714946,0.07206503140359188,student,CES,Media use,0.039086308304271976,p =  0.04,0.14869012915714946
poltr,Agreeableness,ces,NA,NA,student,CES,Political trust,NA,p =  NA,NA
knowledge,Neuroticism,ces,0.18154279793367628,0.08407617114502663,student,CES,Knowledge,0.03082955458259463,p =  0.03,0.18154279793367628
ideology,Openness,anes1012,0.08446681572221947,0.07398879006552343,internet,ANES 2010-12,Left-right ideology,0.2536135064978185,p =  0.25,0.08446681572221947
stfdem,Conscientiousness,anes1012,NA,NA,internet,ANES 2010-12,Sat. democracy,NA,p =  NA,NA
polintr,Extraversion,anes1012,0.13712326774004166,0.07975852277667383,internet,ANES 2010-12,Interest,0.08557244860710014,p =  0.09,0.13712326774004166
poleff,Agreeableness,anes1012,0.002372582563800282,0.0736675343609815,internet,ANES 2010-12,Efficacy,0.9743072739100659,p =  0.97,0.002372582563800282
involvement,Neuroticism,anes1012,-0.02996569477251794,0.08222831224993199,internet,ANES 2010-12,Involvement,0.7155439196660218,p =  0.72,0.02996569477251794
